Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
9,2/5/2010,FALSE,38.01,2.572,NA,NA,NA,NA,214.6554591,6.415
9,2/12/2010,TRUE,37.08,2.548,NA,NA,NA,NA,214.8056534,6.415
9,2/19/2010,FALSE,43.06,2.514,NA,NA,NA,NA,214.8506185,6.415
9,2/26/2010,FALSE,43.83,2.561,NA,NA,NA,NA,214.8780453,6.415
9,3/5/2010,FALSE,48.43,2.625,NA,NA,NA,NA,214.9054721,6.415
9,3/12/2010,FALSE,55.76,2.667,NA,NA,NA,NA,214.932899,6.415
9,3/19/2010,FALSE,53.15,2.72,NA,NA,NA,NA,214.7597274,6.415
9,3/26/2010,FALSE,51.8,2.732,NA,NA,NA,NA,214.5531227,6.415
9,4/2/2010,FALSE,65.21,2.719,NA,NA,NA,NA,214.3465181,6.384
9,4/9/2010,FALSE,64.95,2.77,NA,NA,NA,NA,214.1399135,6.384
9,4/16/2010,FALSE,66.09,2.808,NA,NA,NA,NA,214.0001817,6.384
9,4/23/2010,FALSE,61.26,2.795,NA,NA,NA,NA,213.9496138,6.384
9,4/30/2010,FALSE,66.07,2.78,NA,NA,NA,NA,213.8990459,6.384
9,5/7/2010,FALSE,68.58,2.835,NA,NA,NA,NA,213.848478,6.384
9,5/14/2010,FALSE,70.53,2.854,NA,NA,NA,NA,213.8469819,6.384
9,5/21/2010,FALSE,71.5,2.826,NA,NA,NA,NA,214.1399162,6.384
9,5/28/2010,FALSE,77.12,2.759,NA,NA,NA,NA,214.4328505,6.384
9,6/4/2010,FALSE,79.65,2.705,NA,NA,NA,NA,214.7257848,6.384
9,6/11/2010,FALSE,83.75,2.668,NA,NA,NA,NA,215.0187191,6.384
9,6/18/2010,FALSE,82.99,2.637,NA,NA,NA,NA,215.0166484,6.384
9,6/25/2010,FALSE,85.02,2.653,NA,NA,NA,NA,214.8965756,6.384
9,7/2/2010,FALSE,78.55,2.669,NA,NA,NA,NA,214.7765028,6.442
9,7/9/2010,FALSE,78.51,2.642,NA,NA,NA,NA,214.6564301,6.442
9,7/16/2010,FALSE,82.93,2.623,NA,NA,NA,NA,214.6474453,6.442
9,7/23/2010,FALSE,84.49,2.608,NA,NA,NA,NA,214.7865779,6.442
9,7/30/2010,FALSE,79.83,2.64,NA,NA,NA,NA,214.9257105,6.442
9,8/6/2010,FALSE,87.09,2.627,NA,NA,NA,NA,215.064843,6.442
9,8/13/2010,FALSE,86.85,2.692,NA,NA,NA,NA,215.2039756,6.442
9,8/20/2010,FALSE,86.3,2.664,NA,NA,NA,NA,215.1619646,6.442
9,8/27/2010,FALSE,84.01,2.619,NA,NA,NA,NA,215.1199536,6.442
9,9/3/2010,FALSE,82.47,2.577,NA,NA,NA,NA,215.0779426,6.442
9,9/10/2010,TRUE,77.7,2.565,NA,NA,NA,NA,215.0359315,6.442
9,9/17/2010,FALSE,81.19,2.582,NA,NA,NA,NA,215.0615285,6.442
9,9/24/2010,FALSE,77.15,2.624,NA,NA,NA,NA,215.1378313,6.442
9,10/1/2010,FALSE,69.08,2.603,NA,NA,NA,NA,215.2141341,6.56
9,10/8/2010,FALSE,65.35,2.633,NA,NA,NA,NA,215.290437,6.56
9,10/15/2010,FALSE,67.36,2.72,NA,NA,NA,NA,215.3589917,6.56
9,10/22/2010,FALSE,69.99,2.725,NA,NA,NA,NA,215.4081762,6.56
9,10/29/2010,FALSE,64.43,2.716,NA,NA,NA,NA,215.4573607,6.56
9,11/5/2010,FALSE,58.69,2.689,NA,NA,NA,NA,215.5065452,6.56
9,11/12/2010,FALSE,61.59,2.728,NA,NA,NA,NA,215.5557297,6.56
9,11/19/2010,FALSE,49.96,2.771,NA,NA,NA,NA,215.4372854,6.56
9,11/26/2010,TRUE,60.18,2.735,NA,NA,NA,NA,215.2909028,6.56
9,12/3/2010,FALSE,49.89,2.708,NA,NA,NA,NA,215.1445203,6.56
9,12/10/2010,FALSE,46.1,2.843,NA,NA,NA,NA,214.9981378,6.56
9,12/17/2010,FALSE,49.7,2.869,NA,NA,NA,NA,214.9334937,6.56
9,12/24/2010,FALSE,50.93,2.886,NA,NA,NA,NA,214.9301534,6.56
9,12/31/2010,TRUE,45.92,2.943,NA,NA,NA,NA,214.9268131,6.56
9,1/7/2011,FALSE,41.82,2.976,NA,NA,NA,NA,214.9234729,6.416
9,1/14/2011,FALSE,36.43,2.983,NA,NA,NA,NA,214.9749587,6.416
9,1/21/2011,FALSE,44.72,3.016,NA,NA,NA,NA,215.3554013,6.416
9,1/28/2011,FALSE,43.9,3.01,NA,NA,NA,NA,215.7358438,6.416
9,2/4/2011,FALSE,31.82,2.989,NA,NA,NA,NA,216.1162864,6.416
9,2/11/2011,TRUE,34.13,3.022,NA,NA,NA,NA,216.496729,6.416
9,2/18/2011,FALSE,58.5,3.045,NA,NA,NA,NA,216.8154856,6.416
9,2/25/2011,FALSE,59.01,3.065,NA,NA,NA,NA,217.1095679,6.416
9,3/4/2011,FALSE,60.67,3.288,NA,NA,NA,NA,217.4036503,6.416
9,3/11/2011,FALSE,54.75,3.459,NA,NA,NA,NA,217.6977326,6.416
9,3/18/2011,FALSE,63.82,3.488,NA,NA,NA,NA,217.9563371,6.416
9,3/25/2011,FALSE,68.79,3.473,NA,NA,NA,NA,218.2007506,6.416
9,4/1/2011,FALSE,56.12,3.524,NA,NA,NA,NA,218.445164,6.38
9,4/8/2011,FALSE,71.4,3.622,NA,NA,NA,NA,218.6895775,6.38
9,4/15/2011,FALSE,71.9,3.743,NA,NA,NA,NA,218.9134935,6.38
9,4/22/2011,FALSE,72.35,3.807,NA,NA,NA,NA,219.0861659,6.38
9,4/29/2011,FALSE,70.85,3.81,NA,NA,NA,NA,219.2588382,6.38
9,5/6/2011,FALSE,62.2,3.906,NA,NA,NA,NA,219.4315106,6.38
9,5/13/2011,FALSE,77.66,3.899,NA,NA,NA,NA,219.6041829,6.38
9,5/20/2011,FALSE,70.49,3.907,NA,NA,NA,NA,219.3622809,6.38
9,5/27/2011,FALSE,80.42,3.786,NA,NA,NA,NA,219.1203788,6.38
9,6/3/2011,FALSE,85.8,3.699,NA,NA,NA,NA,218.8784768,6.38
9,6/10/2011,FALSE,85.81,3.648,NA,NA,NA,NA,218.6365747,6.38
9,6/17/2011,FALSE,89.15,3.637,NA,NA,NA,NA,218.5877333,6.38
9,6/24/2011,FALSE,86.74,3.594,NA,NA,NA,NA,218.6836874,6.38
9,7/1/2011,FALSE,89.14,3.524,NA,NA,NA,NA,218.7796415,6.404
9,7/8/2011,FALSE,89.04,3.48,NA,NA,NA,NA,218.8755955,6.404
9,7/15/2011,FALSE,90.45,3.575,NA,NA,NA,NA,218.9607242,6.404
9,7/22/2011,FALSE,89.08,3.651,NA,NA,NA,NA,219.0187895,6.404
9,7/29/2011,FALSE,91.1,3.682,NA,NA,NA,NA,219.0768548,6.404
9,8/5/2011,FALSE,91.52,3.684,NA,NA,NA,NA,219.1349201,6.404
9,8/12/2011,FALSE,91.63,3.638,NA,NA,NA,NA,219.1929854,6.404
9,8/19/2011,FALSE,85.8,3.554,NA,NA,NA,NA,219.2556109,6.404
9,8/26/2011,FALSE,88.95,3.523,NA,NA,NA,NA,219.3189965,6.404
9,9/2/2011,FALSE,89.33,3.533,NA,NA,NA,NA,219.382382,6.404
9,9/9/2011,TRUE,75.65,3.546,NA,NA,NA,NA,219.4457675,6.404
9,9/16/2011,FALSE,77.95,3.526,NA,NA,NA,NA,219.6297841,6.404
9,9/23/2011,FALSE,74.42,3.467,NA,NA,NA,NA,219.9746423,6.404
9,9/30/2011,FALSE,78.45,3.355,NA,NA,NA,NA,220.3195004,6.404
9,10/7/2011,FALSE,72.62,3.285,NA,NA,NA,NA,220.6643585,6.054
9,10/14/2011,FALSE,67.27,3.274,NA,NA,NA,NA,220.9836849,6.054
9,10/21/2011,FALSE,65.46,3.353,NA,NA,NA,NA,221.1498206,6.054
9,10/28/2011,FALSE,63.96,3.372,NA,NA,NA,NA,221.3159563,6.054
9,11/4/2011,FALSE,54.46,3.332,NA,NA,NA,NA,221.4820921,6.054
9,11/11/2011,FALSE,58.28,3.297,3235.06,1645.11,63.15,1580.98,221.6482278,6.054
9,11/18/2011,FALSE,58.8,3.308,3648.4,2.63,21.12,1639.62,221.8803923,6.054
9,11/25/2011,TRUE,54.32,3.236,121.57,NA,44061.13,247.83,222.1389683,6.054
9,12/2/2011,FALSE,46.84,3.172,1237.88,NA,1330.53,643.78,222.3975443,6.054
9,12/9/2011,FALSE,37.65,3.158,3075.89,NA,248.8,822.69,222.6561203,6.054
9,12/16/2011,FALSE,47.31,3.159,2755.9,NA,136.48,384.78,222.8825484,6.054
9,12/23/2011,FALSE,44.43,3.112,719.14,0.24,318.75,17.72,223.0661125,6.054
9,12/30/2011,TRUE,43.41,3.129,2155.73,14481.63,44.07,237.84,223.2496766,6.054
9,1/6/2012,FALSE,47.54,3.157,3597.08,6203.76,11.2,3743.55,223.4332408,5.667
9,1/13/2012,FALSE,42.44,3.261,4731.1,2959.36,NA,129.27,223.6168049,5.667
9,1/20/2012,FALSE,51.56,3.268,910.51,234.36,NA,117.08,223.7114288,5.667
9,1/27/2012,FALSE,49.38,3.29,489.19,283.85,NA,22.5,223.8060527,5.667
9,2/3/2012,FALSE,54.43,3.36,19289.22,527.14,4.46,9955.21,223.9006766,5.667
9,2/10/2012,TRUE,44.03,3.409,5619.8,1595.17,1.71,4740.66,223.9953006,5.667
9,2/17/2012,FALSE,43.81,3.51,4572.81,5448.91,6,945.06,224.1588663,5.667
9,2/24/2012,FALSE,53.67,3.555,3801.98,4010.13,1,586.06,224.3741384,5.667
9,3/2/2012,FALSE,57.2,3.63,6268.15,154.97,NA,3557.17,224.5894104,5.667
9,3/9/2012,FALSE,54.03,3.669,3923.2,96.52,17.36,990.11,224.8046825,5.667
9,3/16/2012,FALSE,59.94,3.734,1913.05,1.8,7.33,436.67,224.9594902,5.667
9,3/23/2012,FALSE,58.79,3.787,1681.15,1.8,0.68,414.45,225.0336786,5.667
9,3/30/2012,FALSE,67.87,3.845,3669.95,15.98,NA,69.02,225.107867,5.667
