Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
5,2/5/2010,FALSE,39.7,2.572,NA,NA,NA,NA,211.6539716,6.566
5,2/12/2010,TRUE,39.81,2.548,NA,NA,NA,NA,211.8004698,6.566
5,2/19/2010,FALSE,41.14,2.514,NA,NA,NA,NA,211.8471283,6.566
5,2/26/2010,FALSE,46.7,2.561,NA,NA,NA,NA,211.8771468,6.566
5,3/5/2010,FALSE,48.89,2.625,NA,NA,NA,NA,211.9071653,6.566
5,3/12/2010,FALSE,58.5,2.667,NA,NA,NA,NA,211.9371839,6.566
5,3/19/2010,FALSE,55.46,2.72,NA,NA,NA,NA,211.770897,6.566
5,3/26/2010,FALSE,52.47,2.732,NA,NA,NA,NA,211.5718925,6.566
5,4/2/2010,FALSE,63.18,2.719,NA,NA,NA,NA,211.372888,6.465
5,4/9/2010,FALSE,65.19,2.77,NA,NA,NA,NA,211.1738835,6.465
5,4/16/2010,FALSE,65.3,2.808,NA,NA,NA,NA,211.0388528,6.465
5,4/23/2010,FALSE,65.13,2.795,NA,NA,NA,NA,210.9891204,6.465
5,4/30/2010,FALSE,67.53,2.78,NA,NA,NA,NA,210.939388,6.465
5,5/7/2010,FALSE,71.53,2.835,NA,NA,NA,NA,210.8896556,6.465
5,5/14/2010,FALSE,74.79,2.854,NA,NA,NA,NA,210.8872772,6.465
5,5/21/2010,FALSE,75.2,2.826,NA,NA,NA,NA,211.169023,6.465
5,5/28/2010,FALSE,79.81,2.759,NA,NA,NA,NA,211.4507688,6.465
5,6/4/2010,FALSE,79.54,2.705,NA,NA,NA,NA,211.7325146,6.465
5,6/11/2010,FALSE,80.7,2.668,NA,NA,NA,NA,212.0142605,6.465
5,6/18/2010,FALSE,83.91,2.637,NA,NA,NA,NA,212.0119769,6.465
5,6/25/2010,FALSE,83.72,2.653,NA,NA,NA,NA,211.8960815,6.465
5,7/2/2010,FALSE,81.25,2.669,NA,NA,NA,NA,211.7801861,6.496
5,7/9/2010,FALSE,81.14,2.642,NA,NA,NA,NA,211.6642907,6.496
5,7/16/2010,FALSE,83.98,2.623,NA,NA,NA,NA,211.6561123,6.496
5,7/23/2010,FALSE,83.66,2.608,NA,NA,NA,NA,211.7915565,6.496
5,7/30/2010,FALSE,82.46,2.64,NA,NA,NA,NA,211.9270006,6.496
5,8/6/2010,FALSE,86.1,2.627,NA,NA,NA,NA,212.0624447,6.496
5,8/13/2010,FALSE,87.41,2.692,NA,NA,NA,NA,212.1978889,6.496
5,8/20/2010,FALSE,87.71,2.664,NA,NA,NA,NA,212.1608984,6.496
