Store,Date,IsHoliday,Temperature,gas_price,discount_promotional,discount_clearance,discount_damaged_good,discount_competitive,CPI,Unemployment
8,2/5/2010,FALSE,34.14,2.572,NA,NA,NA,NA,214.4714512,6.299
8,2/12/2010,TRUE,33.34,2.548,NA,NA,NA,NA,214.6214189,6.299
8,2/19/2010,FALSE,39.1,2.514,NA,NA,NA,NA,214.6664878,6.299
8,2/26/2010,FALSE,37.91,2.561,NA,NA,NA,NA,214.6940735,6.299
8,3/5/2010,FALSE,45.64,2.625,NA,NA,NA,NA,214.7216592,6.299
8,3/12/2010,FALSE,49.76,2.667,NA,NA,NA,NA,214.7492449,6.299
8,3/19/2010,FALSE,47.26,2.72,NA,NA,NA,NA,214.5764954,6.299
8,3/26/2010,FALSE,46.51,2.732,NA,NA,NA,NA,214.3703567,6.299
8,4/2/2010,FALSE,60.18,2.719,NA,NA,NA,NA,214.164218,6.29
8,4/9/2010,FALSE,59.25,2.77,NA,NA,NA,NA,213.9580793,6.29
8,4/16/2010,FALSE,62.66,2.808,NA,NA,NA,NA,213.8186357,6.29
8,4/23/2010,FALSE,56.1,2.795,NA,NA,NA,NA,213.768119,6.29
8,4/30/2010,FALSE,61.01,2.78,NA,NA,NA,NA,213.7176024,6.29
8,5/7/2010,FALSE,62.68,2.835,NA,NA,NA,NA,213.6670857,6.29
8,5/14/2010,FALSE,61.35,2.854,NA,NA,NA,NA,213.6655355,6.29
8,5/21/2010,FALSE,66.03,2.826,NA,NA,NA,NA,213.9577839,6.29
8,5/28/2010,FALSE,74.71,2.759,NA,NA,NA,NA,214.2500323,6.29
8,6/4/2010,FALSE,75.71,2.705,NA,NA,NA,NA,214.5422806,6.29
8,6/11/2010,FALSE,82.21,2.668,NA,NA,NA,NA,214.834529,6.29
8,6/18/2010,FALSE,78.79,2.637,NA,NA,NA,NA,214.8324452,6.29
8,6/25/2010,FALSE,81.78,2.653,NA,NA,NA,NA,214.7126286,6.29
8,7/2/2010,FALSE,74.78,2.669,NA,NA,NA,NA,214.5928119,6.315
8,7/9/2010,FALSE,72.49,2.642,NA,NA,NA,NA,214.4729952,6.315
8,7/16/2010,FALSE,77.49,2.623,NA,NA,NA,NA,214.4640599,6.315
8,7/23/2010,FALSE,78.29,2.608,NA,NA,NA,NA,214.6029664,6.315
8,7/30/2010,FALSE,76.02,2.64,NA,NA,NA,NA,214.7418728,6.315
8,8/6/2010,FALSE,80.37,2.627,NA,NA,NA,NA,214.8807793,6.315
8,8/13/2010,FALSE,80.11,2.692,NA,NA,NA,NA,215.0196857,6.315
8,8/20/2010,FALSE,79.36,2.664,NA,NA,NA,NA,214.9779825,6.315
8,8/27/2010,FALSE,74.92,2.619,NA,NA,NA,NA,214.9362793,6.315
8,9/3/2010,FALSE,76.14,2.577,NA,NA,NA,NA,214.894576,6.315
8,9/10/2010,TRUE,74.34,2.565,NA,NA,NA,NA,214.8528728,6.315
8,9/17/2010,FALSE,75.32,2.582,NA,NA,NA,NA,214.8785562,6.315
8,9/24/2010,FALSE,72.21,2.624,NA,NA,NA,NA,214.9547795,6.315
8,10/1/2010,FALSE,68.7,2.603,NA,NA,NA,NA,215.0310029,6.433
8,10/8/2010,FALSE,62.94,2.633,NA,NA,NA,NA,215.1072262,6.433
8,10/15/2010,FALSE,62.59,2.72,NA,NA,NA,NA,215.1757,6.433
